,SYMBOL,Gene,Feature
2412,,,ENSR00002116861
2413,RP11-262H14.3,ENSG00000234665,ENST00000445604
2414,RP11-262H14.3,ENSG00000234665,ENST00000438699
2415,RP11-262H14.3,ENSG00000234665,ENST00000591993
2416,RP11-262H14.3,ENSG00000234665,ENST00000585533
2417,RP11-262H14.3,ENSG00000234665,ENST00000609749
2418,RNA5SP284,ENSG00000207277,ENST00000384547
2419,RP11-764K9.1,ENSG00000225411,ENST00000417843
2420,RP11-764K9.2,ENSG00000232815,ENST00000455245
2421,MIR4477A,ENSG00000266017,ENST00000581659
2422,,,ENSR00002116973
2423,TJP2,ENSG00000119139,ENST00000498204
2424,TJP2,ENSG00000119139,ENST00000535702
2425,TJP2,ENSG00000119139,ENST00000265384
2426,TJP2,ENSG00000119139,ENST00000453658
2427,TJP2,ENSG00000119139,ENST00000377245
2428,TJP2,ENSG00000119139,ENST00000539225
2429,TJP2,ENSG00000119139,ENST00000348208
2430,CEP78,ENSG00000148019,ENST00000277082
2431,CEP78,ENSG00000148019,ENST00000536374
2432,CEP78,ENSG00000148019,ENST00000376598
2433,CEP78,ENSG00000148019,ENST00000424347
2434,CEP78,ENSG00000148019,ENST00000376597
2435,CEP78,ENSG00000148019,ENST00000415759
2436,CEP78,ENSG00000148019,ENST00000476652
2437,TLE4,ENSG00000106829,ENST00000462803
2438,TLE4,ENSG00000106829,ENST00000435650
2439,TLE4,ENSG00000106829,ENST00000265284
2440,TLE4,ENSG00000106829,ENST00000463431
2441,TLE4,ENSG00000106829,ENST00000376544
2442,TLE4,ENSG00000106829,ENST00000376552
2443,TLE4,ENSG00000106829,ENST00000490347
2444,TLE4,ENSG00000106829,ENST00000470872
2445,TLE4,ENSG00000106829,ENST00000376537
2446,TLE4,ENSG00000106829,ENST00000428713
2447,,,ENSR00002119121
2448,SPATA31D5P,ENSG00000240632,ENST00000527857
2449,SPATA31D5P,ENSG00000240632,ENST00000376459
2450,IARS,ENSG00000196305,ENST00000627121
2451,IARS,ENSG00000196305,ENST00000375643
2452,IARS,ENSG00000196305,ENST00000498025
2453,IARS,ENSG00000196305,ENST00000395554
2454,IARS,ENSG00000196305,ENST00000447699
2455,IARS,ENSG00000196305,ENST00000443024
2456,TDRD7,ENSG00000196116,ENST00000355295
2457,,,ENSR00001731747
2458,,,ENSR00002122149
2459,,,
2460,PTGR1,ENSG00000106853,ENST00000374313
2461,PTGR1,ENSG00000106853,ENST00000309195
2462,PTGR1,ENSG00000106853,ENST00000422125
2463,PTGR1,ENSG00000106853,ENST00000538962
2464,PTGR1,ENSG00000106853,ENST00000485319
2465,PTGR1,ENSG00000106853,ENST00000407693
2466,PTGR1,ENSG00000106853,ENST00000374308
2467,PTGR1,ENSG00000106853,ENST00000374324
2468,,,ENSR00002124861
2469,,,
2470,DAB2IP,ENSG00000136848,ENST00000436835
2471,RP11-524G24.2,ENSG00000229854,ENST00000434375
2472,DAB2IP,ENSG00000136848,ENST00000394340
2473,DAB2IP,ENSG00000136848,ENST00000259371
2474,,,ENSR00002126250
2475,,,
2476,AIF1L,ENSG00000126878,ENST00000372301
2477,AIF1L,ENSG00000126878,ENST00000372309
2478,AIF1L,ENSG00000126878,ENST00000372300
2479,AIF1L,ENSG00000126878,ENST00000372297
2480,AIF1L,ENSG00000126878,ENST00000372302
2481,AIF1L,ENSG00000126878,ENST00000247291
2482,AIF1L,ENSG00000126878,ENST00000372298
2483,AIF1L,ENSG00000126878,ENST00000472942
2484,AIF1L,ENSG00000126878,ENST00000372314
2485,RAPGEF1,ENSG00000107263,ENST00000372189
2486,RAPGEF1,ENSG00000107263,ENST00000414781
2487,RAPGEF1,ENSG00000107263,ENST00000372195
2488,RAPGEF1,ENSG00000107263,ENST00000372190
2489,,,ENSR00002128005
2490,SARDH,ENSG00000123453,ENST00000298628
2491,SARDH,ENSG00000123453,ENST00000371872
2492,SARDH,ENSG00000123453,ENST00000422262
2493,SARDH,ENSG00000123453,ENST00000616662
2494,SARDH,ENSG00000123453,ENST00000439388
2495,SARDH,ENSG00000123453,ENST00000427237
2496,SARDH,ENSG00000123453,ENST00000371867
2497,,,ENSR00001475680
2498,TUBB8,ENSG00000261456,ENST00000564130
2499,,,ENSR00001776327
2500,DIP2C,ENSG00000151240,ENST00000381496
2501,DIP2C,ENSG00000151240,ENST00000280886
2502,FBXO18,ENSG00000134452,ENST00000379999
2503,FBXO18,ENSG00000134452,ENST00000496013
2504,FBXO18,ENSG00000134452,ENST00000475867
2505,FBXO18,ENSG00000134452,ENST00000397269
2506,FBXO18,ENSG00000134452,ENST00000362091
2507,FBXO18,ENSG00000134452,ENST00000485290
2508,FBXO18,ENSG00000134452,ENST00000461504
2509,FBXO18,ENSG00000134452,ENST00000489042
2510,FBXO18,ENSG00000134452,ENST00000479433
2511,FBXO18,ENSG00000134452,ENST00000470353
2512,RP5-1119O21.2,ENSG00000226861,ENST00000413941
2513,,,ENSR00001778332
2514,,,
2515,CAMK1D,ENSG00000183049,ENST00000619168
2516,CAMK1D,ENSG00000183049,ENST00000378845
2517,CAMK1D,ENSG00000183049,ENST00000487696
2518,C10orf111,ENSG00000176236,ENST00000624760
2519,RPP38,ENSG00000152464,ENST00000441850
2520,RPP38,ENSG00000152464,ENST00000378201
2521,RPP38,ENSG00000152464,ENST00000378197
2522,RPP38,ENSG00000152464,ENST00000616640
2523,RPP38,ENSG00000152464,ENST00000451677
2524,GAPDHP45,ENSG00000228312,ENST00000452090
2525,RPP38,ENSG00000152464,ENST00000378203
2526,RPP38,ENSG00000152464,ENST00000378202
2527,,,ENSR00001779050
2528,,,
2529,WDFY4,ENSG00000128815,ENST00000374161
2530,WDFY4,ENSG00000128815,ENST00000325239
2531,FAM21A,ENSG00000099290,ENST00000434114
2532,FAM21A,ENSG00000099290,ENST00000492914
2533,FAM21A,ENSG00000099290,ENST00000399339
2534,FAM21A,ENSG00000099290,ENST00000282633
2535,FAM21A,ENSG00000099290,ENST00000476514
2536,FAM21A,ENSG00000099290,ENST00000351071
2537,FAM21A,ENSG00000099290,ENST00000314664
2538,FAM21A,ENSG00000099290,ENST00000611324
2539,ANXA2P3,ENSG00000216740,ENST00000404883
2540,HK1,ENSG00000156515,ENST00000483077
2541,HK1,ENSG00000156515,ENST00000450646
2542,RP11-227H15.5,ENSG00000231748,ENST00000413220
2543,HK1,ENSG00000156515,ENST00000476368
2544,HK1,ENSG00000156515,ENST00000464803
2545,HKDC1,ENSG00000156510,ENST00000354624
2546,HKDC1,ENSG00000156510,ENST00000470920
2547,HK1,ENSG00000156515,ENST00000360289
2548,HK1,ENSG00000156515,ENST00000448642
2549,HK1,ENSG00000156515,ENST00000480047
2550,HK1,ENSG00000156515,ENST00000479594
2551,COL13A1,ENSG00000197467,ENST00000354547
2552,COL13A1,ENSG00000197467,ENST00000517713
2553,COL13A1,ENSG00000197467,ENST00000398978
2554,COL13A1,ENSG00000197467,ENST00000520133
2555,COL13A1,ENSG00000197467,ENST00000479733
2556,COL13A1,ENSG00000197467,ENST00000522165
2557,COL13A1,ENSG00000197467,ENST00000357811
2558,COL13A1,ENSG00000197467,ENST00000520267
2559,COL13A1,ENSG00000197467,ENST00000398969
2560,,,ENSR00000356506
2561,TBATA,ENSG00000166220,ENST00000394982
2562,TBATA,ENSG00000166220,ENST00000299290
2563,TBATA,ENSG00000166220,ENST00000456372
2564,LINC00856,ENSG00000230417,ENST00000421324
2565,RP11-589B3.7,ENSG00000271985,ENST00000606318
2566,,,ENSR00000643362
2567,PLAC9,ENSG00000189129,ENST00000372263
2568,PLAC9,ENSG00000189129,ENST00000372267
2569,PLAC9,ENSG00000189129,ENST00000372270
2570,,,ENSR00001788147
2571,BTAF1,ENSG00000095564,ENST00000544642
2572,BTAF1,ENSG00000095564,ENST00000471217
2573,BTAF1,ENSG00000095564,ENST00000265990
2574,KIF11,ENSG00000138160,ENST00000260731
2575,BLNK,ENSG00000095585,ENST00000467799
2576,BLNK,ENSG00000095585,ENST00000224337
2577,BLNK,ENSG00000095585,ENST00000427367
2578,BLNK,ENSG00000095585,ENST00000371176
2579,BLNK,ENSG00000095585,ENST00000413476
2580,BLNK,ENSG00000095585,ENST00000472763
2581,MGEA5,ENSG00000198408,ENST00000370094
2582,MGEA5,ENSG00000198408,ENST00000439817
2583,MGEA5,ENSG00000198408,ENST00000429860
2584,MGEA5,ENSG00000198408,ENST00000357797
2585,MGEA5,ENSG00000198408,ENST00000361464
2586,LINC01435,ENSG00000229981,ENST00000629275
2587,LINC01435,ENSG00000229981,ENST00000627225
2588,,,
2589,,,
2590,AP006621.8,ENSG00000255108,ENST00000532946
2591,CRACR2B,ENSG00000177685,ENST00000533803
2592,PNPLA2,ENSG00000177666,ENST00000531923
2593,PNPLA2,ENSG00000177666,ENST00000617551
2594,PNPLA2,ENSG00000177666,ENST00000526083
2595,CRACR2B,ENSG00000177685,ENST00000528315
2596,CRACR2B,ENSG00000177685,ENST00000527089
2597,PNPLA2,ENSG00000177666,ENST00000336615
2598,PNPLA2,ENSG00000177666,ENST00000534561
2599,CRACR2B,ENSG00000177685,ENST00000534191
2600,PNPLA2,ENSG00000177666,ENST00000525250
2601,AP006621.8,ENSG00000255108,ENST00000528982
2602,PNPLA2,ENSG00000177666,ENST00000529255
2603,IFITM10,ENSG00000244242,ENST00000486852
2604,IFITM10,ENSG00000244242,ENST00000340134
2605,IFITM10,ENSG00000244242,ENST00000382123
2606,IFITM10,ENSG00000244242,ENST00000482459
2607,RP11-295K3.1,ENSG00000250644,ENST00000427721
2608,,,ENSR00001796392
2609,SAA2-SAA4,ENSG00000255071,ENST00000615694
2610,SAA3P,ENSG00000166787,ENST00000534768
2611,SAA3P,ENSG00000166787,ENST00000533267
2612,MUC15,ENSG00000169550,ENST00000529533
2613,MUC15,ENSG00000169550,ENST00000527569
2614,MUC15,ENSG00000169550,ENST00000436318
2615,ANO3,ENSG00000134343,ENST00000529242
2616,ANO3,ENSG00000134343,ENST00000531568
2617,MUC15,ENSG00000169550,ENST00000281268
2618,ANO3,ENSG00000134343,ENST00000525139
2619,ANO3,ENSG00000134343,ENST00000256737
2620,MUC15,ENSG00000169550,ENST00000455601
2621,,,
2622,EXT2,ENSG00000151348,ENST00000358681
2623,EXT2,ENSG00000151348,ENST00000343631
2624,EXT2,ENSG00000151348,ENST00000528159
2625,EXT2,ENSG00000151348,ENST00000531161
2626,EXT2,ENSG00000151348,ENST00000533608
2627,EXT2,ENSG00000151348,ENST00000395673
2628,NR1H3,ENSG00000025434,ENST00000529540
2629,NR1H3,ENSG00000025434,ENST00000441012
2630,NR1H3,ENSG00000025434,ENST00000405853
2631,NR1H3,ENSG00000025434,ENST00000476086
2632,NR1H3,ENSG00000025434,ENST00000527464
2633,NR1H3,ENSG00000025434,ENST00000531660
2634,NR1H3,ENSG00000025434,ENST00000437276
2635,NR1H3,ENSG00000025434,ENST00000436029
2636,NR1H3,ENSG00000025434,ENST00000405576
2637,NR1H3,ENSG00000025434,ENST00000498548
2638,NR1H3,ENSG00000025434,ENST00000483882
2639,NR1H3,ENSG00000025434,ENST00000419652
2640,NR1H3,ENSG00000025434,ENST00000527949
2641,NR1H3,ENSG00000025434,ENST00000532630
2642,NR1H3,ENSG00000025434,ENST00000449369
2643,NR1H3,ENSG00000025434,ENST00000495866
2644,NR1H3,ENSG00000025434,ENST00000530310
2645,NR1H3,ENSG00000025434,ENST00000481889
2646,NR1H3,ENSG00000025434,ENST00000395397
2647,NR1H3,ENSG00000025434,ENST00000487913
2648,NR1H3,ENSG00000025434,ENST00000481020
2649,NR1H3,ENSG00000025434,ENST00000457932
2650,NR1H3,ENSG00000025434,ENST00000525441
2651,NR1H3,ENSG00000025434,ENST00000420369
2652,NR1H3,ENSG00000025434,ENST00000486991
2653,NR1H3,ENSG00000025434,ENST00000467728
2654,NR1H3,ENSG00000025434,ENST00000412937
2655,NR1H3,ENSG00000025434,ENST00000473222
2656,NR1H3,ENSG00000025434,ENST00000444396
2657,NR1H3,ENSG00000025434,ENST00000407404
2658,NR1H3,ENSG00000025434,ENST00000616973
2659,NR1H3,ENSG00000025434,ENST00000436778
2660,NR1H3,ENSG00000025434,ENST00000461778
2661,,,ENSR00000562140
2662,,,ENSR00001802557
2663,RP11-750H9.5,ENSG00000255197,ENST00000532340
2664,RP11-750H9.5,ENSG00000255197,ENST00000532943
2665,RP11-750H9.5,ENSG00000255197,ENST00000527426
2666,,,ENSR00001802582
2667,MS4A4A,ENSG00000110079,ENST00000529950
2668,MS4A4A,ENSG00000110079,ENST00000529991
2669,MS4A4A,ENSG00000110079,ENST00000527056
2670,MS4A4A,ENSG00000110079,ENST00000337908
2671,MS4A4A,ENSG00000110079,ENST00000532114
2672,MS4A4A,ENSG00000110079,ENST00000343968
2673,MYRF,ENSG00000124920,ENST00000278836
2674,MYRF,ENSG00000124920,ENST00000265460
2675,TMEM258,ENSG00000134825,ENST00000535042
2676,MYRF,ENSG00000124920,ENST00000389602
2677,MYRF,ENSG00000124920,ENST00000537318
2678,MYRF,ENSG00000124920,ENST00000546247
2679,MYRF,ENSG00000124920,ENST00000536352
2680,MYRF,ENSG00000124920,ENST00000539361
2681,DPF2,ENSG00000133884,ENST00000531989
2682,DPF2,ENSG00000133884,ENST00000415073
2683,DPF2,ENSG00000133884,ENST00000532102
2684,DPF2,ENSG00000133884,ENST00000532052
2685,DPF2,ENSG00000133884,ENST00000528416
2686,DPF2,ENSG00000133884,ENST00000532264
2687,DPF2,ENSG00000133884,ENST00000252268
2688,DPF2,ENSG00000133884,ENST00000444314
2689,DPF2,ENSG00000133884,ENST00000530993
2690,DPF2,ENSG00000133884,ENST00000530973
2691,DPF2,ENSG00000133884,ENST00000524666
2692,DPF2,ENSG00000133884,ENST00000532492
2693,PCNXL3,ENSG00000197136,ENST00000355703
2694,SIPA1,ENSG00000213445,ENST00000394227
2695,PCNXL3,ENSG00000197136,ENST00000531045
2696,PCNXL3,ENSG00000197136,ENST00000439247
2697,PCNXL3,ENSG00000197136,ENST00000530174
2698,SIPA1,ENSG00000213445,ENST00000628801
2699,PCNXL3,ENSG00000197136,ENST00000531280
2700,CTTN,ENSG00000085733,ENST00000376561
2701,CTTN,ENSG00000085733,ENST00000301843
2702,CTTN,ENSG00000085733,ENST00000346329
2703,CTTN,ENSG00000085733,ENST00000533931
2704,CTTN,ENSG00000085733,ENST00000393747
2705,CTTN,ENSG00000085733,ENST00000527962
2706,CTTN,ENSG00000085733,ENST00000529736
2707,CTTN,ENSG00000085733,ENST00000498223
2708,CAPN5,ENSG00000149260,ENST00000533889
2709,CAPN5,ENSG00000149260,ENST00000531028
2710,CAPN5,ENSG00000149260,ENST00000615896
2711,CAPN5,ENSG00000149260,ENST00000527129
2712,CAPN5,ENSG00000149260,ENST00000278559
2713,CAPN5,ENSG00000149260,ENST00000456580
2714,CAPN5,ENSG00000149260,ENST00000529629
2715,,,ENSR00001806828
2716,,,ENSR00000685891
2717,MYO7A,ENSG00000137474,ENST00000409893
2718,MYO7A,ENSG00000137474,ENST00000409619
2719,MYO7A,ENSG00000137474,ENST00000409709
2720,MYO7A,ENSG00000137474,ENST00000620575
2721,MYO7A,ENSG00000137474,ENST00000458637
2722,GDPD4,ENSG00000178795,ENST00000376217
2723,GDPD4,ENSG00000178795,ENST00000527489
2724,GDPD4,ENSG00000178795,ENST00000315938
2725,GDPD4,ENSG00000178795,ENST00000532155
2726,,,ENSR00001806853
2727,ZBTB16,ENSG00000109906,ENST00000392996
2728,ZBTB16,ENSG00000109906,ENST00000539918
2729,ZBTB16,ENSG00000109906,ENST00000541602
2730,ZBTB16,ENSG00000109906,ENST00000335953
2731,AP000908.1,ENSG00000221112,ENST00000408185
2732,,,
2733,GRIK4,ENSG00000149403,ENST00000526536
2734,GRIK4,ENSG00000149403,ENST00000527524
2735,GRIK4,ENSG00000149403,ENST00000438375
2736,GRIK4,ENSG00000149403,ENST00000533291
2737,,,
2738,FEZ1,ENSG00000149557,ENST00000533294
2739,FEZ1,ENSG00000149557,ENST00000278919
2740,FEZ1,ENSG00000149557,ENST00000532778
2741,FEZ1,ENSG00000149557,ENST00000524427
2742,FEZ1,ENSG00000149557,ENST00000392709
2743,FEZ1,ENSG00000149557,ENST00000528863
2744,FEZ1,ENSG00000149557,ENST00000526507
2745,FEZ1,ENSG00000149557,ENST00000530096
2746,FEZ1,ENSG00000149557,ENST00000527350
2747,FEZ1,ENSG00000149557,ENST00000577924
2748,,,
2749,CRACR2A,ENSG00000130038,ENST00000333750
2750,CRACR2A,ENSG00000130038,ENST00000440314
2751,CRACR2A,ENSG00000130038,ENST00000535292
2752,CRACR2A,ENSG00000130038,ENST00000252322
2753,,,ENSR00000086480
2754,RP11-264F23.1,ENSG00000213970,ENST00000493323
2755,C12orf5,ENSG00000078237,ENST00000539671
2756,C12orf5,ENSG00000078237,ENST00000179259
2757,,,ENSR00001815550
2758,PIANP,ENSG00000139200,ENST00000540656
2759,PIANP,ENSG00000139200,ENST00000320591
2760,PIANP,ENSG00000139200,ENST00000534837
2761,PIANP,ENSG00000139200,ENST00000536467
2762,PIANP,ENSG00000139200,ENST00000542740
2763,PIANP,ENSG00000139200,ENST00000545917
2764,BTG1P1,ENSG00000256720,ENST00000540396
2765,,,ENSR00001816389
2766,LMO3,ENSG00000048540,ENST00000545436
2767,LMO3,ENSG00000048540,ENST00000546279
2768,LMO3,ENSG00000048540,ENST00000543721
2769,LMO3,ENSG00000048540,ENST00000616247
2770,LMO3,ENSG00000048540,ENST00000539534
2771,LMO3,ENSG00000048540,ENST00000320122
2772,LMO3,ENSG00000048540,ENST00000541295
2773,LMO3,ENSG00000048540,ENST00000439600
2774,LMO3,ENSG00000048540,ENST00000541589
2775,LMO3,ENSG00000048540,ENST00000424192
2776,LMO3,ENSG00000048540,ENST00000354662
2777,LMO3,ENSG00000048540,ENST00000332914
2778,LMO3,ENSG00000048540,ENST00000537568
2779,LMO3,ENSG00000048540,ENST00000540848
2780,LMO3,ENSG00000048540,ENST00000537757
2781,LMO3,ENSG00000048540,ENST00000541764
2782,LMO3,ENSG00000048540,ENST00000538051
2783,LMO3,ENSG00000048540,ENST00000540590
2784,LMO3,ENSG00000048540,ENST00000536509
2785,LMO3,ENSG00000048540,ENST00000453727
2786,LMO3,ENSG00000048540,ENST00000544754
2787,LMO3,ENSG00000048540,ENST00000541846
2788,LMO3,ENSG00000048540,ENST00000441439
2789,LMO3,ENSG00000048540,ENST00000534946
2790,LMO3,ENSG00000048540,ENST00000535535
2791,LMO3,ENSG00000048540,ENST00000546281
2792,LMO3,ENSG00000048540,ENST00000447609
2793,LMO3,ENSG00000048540,ENST00000396205
2794,MGST1,ENSG00000008394,ENST00000539036
2795,LMO3,ENSG00000048540,ENST00000537304
2796,LMO3,ENSG00000048540,ENST00000261169
2797,LMO3,ENSG00000048540,ENST00000538020
2798,LMO3,ENSG00000048540,ENST00000539232
2799,LMO3,ENSG00000048540,ENST00000544276
2800,LMO3,ENSG00000048540,ENST00000536172
2801,LMO3,ENSG00000048540,ENST00000540445
2802,SLCO1B1,ENSG00000134538,ENST00000256958
2803,ITPR2,ENSG00000123104,ENST00000381340
2804,,,
2805,,,
2806,COL2A1,ENSG00000139219,ENST00000483376
2807,COL2A1,ENSG00000139219,ENST00000546974
2808,COL2A1,ENSG00000139219,ENST00000337299
2809,COL2A1,ENSG00000139219,ENST00000493991
2810,COL2A1,ENSG00000139219,ENST00000380518
2811,AC055736.3,ENSG00000281194,ENST00000628486
2812,KRT6A,ENSG00000205420,ENST00000549898
2813,KRT6A,ENSG00000205420,ENST00000330722
2814,KRT6A,ENSG00000205420,ENST00000549600
2815,KRT6A,ENSG00000205420,ENST00000548735
2816,KRT6A,ENSG00000205420,ENST00000549754
2817,,,ENSR00001822188
2818,PMEL,ENSG00000185664,ENST00000550447
2819,DGKA,ENSG00000065357,ENST00000394147
2820,PMEL,ENSG00000185664,ENST00000556802
2821,PMEL,ENSG00000185664,ENST00000547137
2822,PMEL,ENSG00000185664,ENST00000549564
2823,DGKA,ENSG00000065357,ENST00000553084
2824,PMEL,ENSG00000185664,ENST00000549233
2825,PMEL,ENSG00000185664,ENST00000548493
2826,DGKA,ENSG00000065357,ENST00000550957
2827,DGKA,ENSG00000065357,ENST00000402956
2828,PMEL,ENSG00000185664,ENST00000549418
2829,DGKA,ENSG00000065357,ENST00000551296
2830,PMEL,ENSG00000185664,ENST00000548803
2831,PMEL,ENSG00000185664,ENST00000550464
2832,PMEL,ENSG00000185664,ENST00000549404
2833,PMEL,ENSG00000185664,ENST00000549430
2834,PMEL,ENSG00000185664,ENST00000548689
2835,DGKA,ENSG00000065357,ENST00000552478
2836,DGKA,ENSG00000065357,ENST00000548491
2837,DGKA,ENSG00000065357,ENST00000555218
2838,PMEL,ENSG00000185664,ENST00000552882
2839,PMEL,ENSG00000185664,ENST00000546543
2840,DGKA,ENSG00000065357,ENST00000549079
2841,DGKA,ENSG00000065357,ENST00000552903
2842,DGKA,ENSG00000065357,ENST00000331886
2843,PMEL,ENSG00000185664,ENST00000550590
2844,PMEL,ENSG00000185664,ENST00000449260
2845,DGKA,ENSG00000065357,ENST00000551585
2846,PMEL,ENSG00000185664,ENST00000550762
2847,PMEL,ENSG00000185664,ENST00000548747
2848,DGKA,ENSG00000065357,ENST00000551739
2849,DGKA,ENSG00000065357,ENST00000551156
2850,STAT6,ENSG00000166888,ENST00000557781
2851,STAT6,ENSG00000166888,ENST00000555849
2852,STAT6,ENSG00000166888,ENST00000556155
2853,STAT6,ENSG00000166888,ENST00000553533
2854,STAT6,ENSG00000166888,ENST00000556259
2855,STAT6,ENSG00000166888,ENST00000553499
2856,STAT6,ENSG00000166888,ENST00000555318
2857,STAT6,ENSG00000166888,ENST00000538913
2858,STAT6,ENSG00000166888,ENST00000555375
2859,STAT6,ENSG00000166888,ENST00000554202
2860,STAT6,ENSG00000166888,ENST00000555641
2861,STAT6,ENSG00000166888,ENST00000543873
2862,STAT6,ENSG00000166888,ENST00000553397
2863,STAT6,ENSG00000166888,ENST00000554764
2864,STAT6,ENSG00000166888,ENST00000555222
2865,STAT6,ENSG00000166888,ENST00000454075
2866,STAT6,ENSG00000166888,ENST00000554663
2867,STAT6,ENSG00000166888,ENST00000554825
2868,STAT6,ENSG00000166888,ENST00000537215
2869,STAT6,ENSG00000166888,ENST00000300134
2870,STAT6,ENSG00000166888,ENST00000555104
2871,,,ENSR00001823040
2872,GNS,ENSG00000135677,ENST00000258145
2873,GNS,ENSG00000135677,ENST00000541781
2874,GNS,ENSG00000135677,ENST00000540196
2875,GNS,ENSG00000135677,ENST00000542058
2876,GNS,ENSG00000135677,ENST00000537823
2877,GNS,ENSG00000135677,ENST00000540883
2878,GNS,ENSG00000135677,ENST00000418919
2879,GNS,ENSG00000135677,ENST00000543646
2880,LGR5,ENSG00000139292,ENST00000547310
2881,LGR5,ENSG00000139292,ENST00000536515
2882,LGR5,ENSG00000139292,ENST00000550851
2883,RP11-186F10.2,ENSG00000257761,ENST00000546601
2884,LGR5,ENSG00000139292,ENST00000266674
2885,LGR5,ENSG00000139292,ENST00000540815
2886,PPP1R12A,ENSG00000058272,ENST00000547131
2887,PPP1R12A,ENSG00000058272,ENST00000553081
2888,PPP1R12A,ENSG00000058272,ENST00000547330
2889,RP11-530C5.4,ENSG00000277130,ENST00000619055
2890,PPP1R12A,ENSG00000058272,ENST00000450142
2891,PPP1R12A,ENSG00000058272,ENST00000546369
2892,PPP1R12A,ENSG00000058272,ENST00000550107
2893,PPP1R12A,ENSG00000058272,ENST00000437004
2894,PPP1R12A,ENSG00000058272,ENST00000550510
2895,PPP1R12A,ENSG00000058272,ENST00000261207
2896,RP11-530C5.2,ENSG00000258044,ENST00000548469
2897,KITLG,ENSG00000049130,ENST00000552044
2898,KITLG,ENSG00000049130,ENST00000378535
2899,KITLG,ENSG00000049130,ENST00000613305
2900,KITLG,ENSG00000049130,ENST00000357116
2901,KITLG,ENSG00000049130,ENST00000347404
2902,KITLG,ENSG00000049130,ENST00000228280
2903,POC1B,ENSG00000139323,ENST00000549504
2904,POC1B,ENSG00000139323,ENST00000539190
2905,POC1B,ENSG00000139323,ENST00000551819
2906,POC1B,ENSG00000139323,ENST00000313546
2907,POC1B,ENSG00000139323,ENST00000549304
2908,POC1B,ENSG00000139323,ENST00000393179
2909,POC1B,ENSG00000139323,ENST00000552563
2910,POC1B,ENSG00000139323,ENST00000548715
2911,POC1B,ENSG00000139323,ENST00000547496
2912,POC1B,ENSG00000139323,ENST00000549035
2913,MIR5700,ENSG00000266099,ENST00000582250
2914,,,ENSR00001827815
2915,HAL,ENSG00000084110,ENST00000261208
2916,HAL,ENSG00000084110,ENST00000538703
2917,HAL,ENSG00000084110,ENST00000544080
2918,HAL,ENSG00000084110,ENST00000548808
2919,HAL,ENSG00000084110,ENST00000546999
2920,HAL,ENSG00000084110,ENST00000541929
2921,RP11-181C3.1,ENSG00000245017,ENST00000549004
2922,RP11-181C3.1,ENSG00000245017,ENST00000501499
2923,ANKS1B,ENSG00000185046,ENST00000550693
2924,ANKS1B,ENSG00000185046,ENST00000549558
2925,ANKS1B,ENSG00000185046,ENST00000546960
2926,ANKS1B,ENSG00000185046,ENST00000547776
2927,ANKS1B,ENSG00000185046,ENST00000547446
2928,ANKS1B,ENSG00000185046,ENST00000547010
2929,ANKS1B,ENSG00000185046,ENST00000550778
2930,ANKS1B,ENSG00000185046,ENST00000546568
2931,ANKS1B,ENSG00000185046,ENST00000552245
2932,ANKS1B,ENSG00000185046,ENST00000549493
2933,ANKS1B,ENSG00000185046,ENST00000557083
2934,ANKS1B,ENSG00000185046,ENST00000549025
2935,UTP20,ENSG00000120800,ENST00000261637
2936,UTP20,ENSG00000120800,ENST00000551825
2937,,,ENSR00001828661
2938,SVOP,ENSG00000166111,ENST00000610966
2939,,,ENSR00001829964
2940,CUX2,ENSG00000111249,ENST00000397643
2941,CUX2,ENSG00000111249,ENST00000551604
2942,CUX2,ENSG00000111249,ENST00000261726
2943,HECTD4,ENSG00000173064,ENST00000548896
2944,HECTD4,ENSG00000173064,ENST00000550722
2945,HECTD4,ENSG00000173064,ENST00000377560
2946,RP4-601P9.2,ENSG00000257817,ENST00000551875
2947,,,ENSR00000654539
2948,,,
2949,CIT,ENSG00000122966,ENST00000539413
2950,CIT,ENSG00000122966,ENST00000261833
2951,CIT,ENSG00000122966,ENST00000612548
2952,CIT,ENSG00000122966,ENST00000392521
2953,CIT,ENSG00000122966,ENST00000536325
2954,CIT,ENSG00000122966,ENST00000488203
2955,CIT,ENSG00000122966,ENST00000392520
2956,CIT,ENSG00000122966,ENST00000545913
2957,RP1-166H1.2,ENSG00000256695,ENST00000536933
2958,HNF1A,ENSG00000135100,ENST00000538626
2959,HNF1A,ENSG00000135100,ENST00000541924
2960,HNF1A,ENSG00000135100,ENST00000535955
2961,HNF1A-AS1,ENSG00000241388,ENST00000433033
2962,HNF1A,ENSG00000135100,ENST00000617366
2963,HNF1A,ENSG00000135100,ENST00000544574
2964,HNF1A,ENSG00000135100,ENST00000257555
2965,HNF1A-AS1,ENSG00000241388,ENST00000537361
2966,HNF1A,ENSG00000135100,ENST00000615446
2967,HNF1A,ENSG00000135100,ENST00000541395
2968,HNF1A,ENSG00000135100,ENST00000400024
2969,HNF1A,ENSG00000135100,ENST00000538646
2970,HNF1A,ENSG00000135100,ENST00000544413
2971,HNF1A-AS1,ENSG00000241388,ENST00000619441
2972,HNF1A,ENSG00000135100,ENST00000540108
2973,HNF1A-AS1,ENSG00000241388,ENST00000535301
2974,HNF1A,ENSG00000135100,ENST00000560968
2975,HNF1A,ENSG00000135100,ENST00000402929
2976,HNF1A,ENSG00000135100,ENST00000543427
2977,,,ENSR00001832025
